	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	featurereclamate	nodisplayinfo	permanent
Acid\AcidMetal.AcidMetal1	acid	Metal	metal	0	3	3	0	acidmetal	acidmetal01		0	1	5	86	32009	1																								
Acid\AcidMetal.AcidMetal2	acid	Metal	metal	0	3	3	0	acidmetal	acidmetal02		0	1	5	140	32009	1																								
Acid\AcidMetal.AcidMetal3	acid	Metal	metal	0	3	3	0	acidmetal	acidmetal03		0	1	5	235	32009	1																								
Acid\AcidMetal.AcidAquaOre1	acid	Metal	metal	0	3	3	0	acidmetal	acidaquaore01		0	1	5	86	32009	1																								
Acid\AcidMetal.AcidAquaOre2	acid	Metal	metal	0	3	3	0	acidmetal	acidaquaore02		0	1	5	127	32009	1																								
Acid\AcidMetal.AcidAquaOre3	acid	Metal	metal	0	3	3	0	acidmetal	acidaquaore03		0	1	5	223	32009	1																								
Acid\AcidPlants.AcidPlant01	acid	Gasbag	Gasplants	1	1	1	180	acidplant	acidplant01	acidplantshad01	0	1	20				acidplantrec01	525	acidplantburn01		acidscar1	5	15	5	75	Gasbag	acidp-boom01	acidscar1	1	1	acidscar1	0	6	1						
Acid\AcidPlants.AcidPlant01b	acid	Gasbag	Gasplants	1	1	1	180	acidplant	acidplant01b	acidplantshad01b	0	1	20				acidplantrec01	530	acidplantburn01		acidscar1	5	15	5	75	Gasbag	acidp-boom01	acidscar1	1	1	acidscar1	0	6	1						
Acid\AcidPlants.AcidPlant02	acid	Gasbag	Gasplants	1	1	1	220	acidplant	acidplant02	acidplantshad02	0	1	20				acidplantrec02	590	acidplantburn02		acidscar2	5	15	5	75	Gasbag	acidp-boom02	acidscar2	1	1	acidscar2	0	6	1						
Acid\AcidPlants.AcidPlant02b	acid	Gasbag	Gasplants	1	1	1	220	acidplant	acidplant02b	acidplantshad02b	0	1	20				acidplantrec02	580	acidplantburn02		acidscar2	5	15	5	75	Gasbag	acidp-boom02	acidscar2	1	1	acidscar2	0	6	1						
Acid\AcidPlants.AcidPlant03	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant03	acidplantshad03	0	1	20				acidplantrec03	550	acidplantburn03		acidscar3	5	15	5	75	Gasbag	acidp-boom03	acidscar3	1	1	acidscar3	0	6	1						
Acid\AcidPlants.AcidPlant03b	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant03b	acidplantshad03b	0	1	20				acidplantrec03	555	acidplantburn03		acidscar3	5	15	5	75	Gasbag	acidp-boom03	acidscar3	1	1	acidscar3	0	6	1						
Acid\AcidPlants.AcidPlant04	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant04	acidplantshad04	0	1	20				acidplantrec04	620	acidplantburn04		acidscar4	5	15	5	75	Gasbag	acidp-boom04	acidscar4	1	1	acidscar4	0	6	1						
Acid\AcidPlants.AcidPlant04b	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant04b	acidplantshad04b	0	1	20				acidplantrec04	625	acidplantburn04		acidscar4	5	15	5	75	Gasbag	acidp-boom04	acidscar4	1	1	acidscar4	0	6	1						
Acid\AcidPlants.AcidPlant05	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant05	acidplantshad05	0	1	20				acidplantrec05	650	acidplantburn05		acidscar5	5	15	5	75	Gasbag	acidp-boom05	acidscar5	1	1	acidscar5	0	6	1						
Acid\AcidPlants.AcidPlant05b	acid	Gasbag	Gasplants	1	1	1	160	acidplant	acidplant05b	acidplantshad05b	0	1	20				acidplantrec05	645	acidplantburn05		acidscar5	5	15	5	75	Gasbag	acidp-boom05	acidscar5	1	1	acidscar5	0	6	1						
Acid\AcidPlants.acidscar1	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge01		1		0															acidscar1	0	0		0	6	0						
Acid\AcidPlants.acidscar2	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge02		1		0															acidscar2	0	0		0	6	0						
Acid\AcidPlants.acidscar3	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge03		1		0															acidscar3	0	0		0	6	0						
Acid\AcidPlants.acidscar4	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge04		1		0															acidscar4	0	0		0	6	0						
Acid\AcidPlants.acidscar5	acid	Damaged Terrain	smudges	0	1	1	0	acidplant	acidp-smudge05		1		0															acidscar5	0	0		0	6	0						
Acid\AcidVents.AcidVent01	acid	Thermal Vent	steamvents	1	1	1	0	acidvents	acidvent01				0			1																			1					
Acid\AcidVents.AcidVent02	acid	Thermal Vent	steamvents	1	1	1	0	acidvents	acidvent02				0			1																			1					
Acid\AcidVents.AcidVent03	acid	Thermal Vent	steamvents	1	1	1	0	acidvents	acidvent03				0			1																			1					
All Worlds\Armfort_fort.Fortification	allworld	Fortification Wall	dragonteeth		2	2	55						97	23	1600		tree1reclamate											RockTeeth		1				1		armfort	0	smudge01		
All Worlds\Corfort_fort.Fortification_Core	allworld	Fortification Wall	dragonteeth		2	2	55						95	21	1500		tree1reclamate											RockTeeth		1				1		corfort	0	smudge01		
Corpses\armamb_dead.armamb_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	1602	1326		tree1reclamate											armamb_dead2		1				1		armamb_dead1		smudge01		
Corpses\armamb_dead.armamb_dead2	All Worlds	Wreckage	arm_corpses		3	3	20						100	801	663		tree1reclamate											armamb_heap		1				1		armamb_dead2		smudge01		
Corpses\armamb_dead.armamb_heap	All Worlds	Wreckage	heaps		3	3	4						100	496	624		tree1reclamate													1				0		3x3b		smudge01		
Corpses\Armckfus_dead.armckfus_dead	All Worlds	Wreckage	arm_corpses		5	4	40						100	4336	1760		tree1reclamate											armckfus_heap		1				1		armckfus_dead		smudge01		
Corpses\Armckfus_dead.armckfus_heap	All Worlds	Wreckage	heaps		4	4	4						100	2168	880		tree1reclamate													1				0		4x4a		smudge01		
Corpses\ARMEMP_dead.armemp_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	1441	2048		tree1reclamate											armemp_heap		1				1		armemp_dead		smudge01		
Corpses\ARMEMP_dead.armemp_heap	All Worlds	Wreckage	heaps		3	3	4						100	721	2048		tree1reclamate													1				0		3x3a		smudge01		
Corpses\Armfhlt_dead.Armfhlt_dead	All Worlds	Wreckage	arm_corpses		4	4	20						100	446	1108		tree1reclamate													1				1		Armfhlt_dead		smudge01		
Corpses\armflak_dead.armflak_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	855	1219		tree1reclamate											armflak_heap		1				1		armflak_dead		smudge01		
Corpses\armflak_dead.armflak_heap	All Worlds	Wreckage	heaps		2	2	4						100	428	609		tree1reclamate													1				0		2x2c		smudge01		
Corpses\armfrt_dead.armfrt_dead	All Worlds	Wreckage	arm_corpses		3	3	40						100	56.8	202		tree1reclamate													1				1		armfrt_dead		smudge01		
Corpses\armlatnk_dead.armlatnk_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	262	794		tree1reclamate											armlatnk_heap		1				1		armlatnk_dead		smudge01		
Corpses\armlatnk_dead.armlatnk_heap	All Worlds	Wreckage	heaps		2	2	4						100	66	794		tree1reclamate													1				0		2x2d		smudge01		
Corpses\Armmanni_dead.armmanni_dead	All Worlds	Wreckage	core_corpses		3	3	20						100	2083	520		tree1reclamate											armmanni_heap		1				1		armmanni_dead		smudge01		
Corpses\Armmanni_dead.armmanni_heap	All Worlds	Wreckage	heaps		3	3	4						100	1041	260		tree1reclamate													1				0		3x3c		smudge01		
Corpses\Armmark_dead.armmark_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	76	256		tree1reclamate											armmark_heap		1				1		armmark_dead		smudge01		
Corpses\Armmark_dead.armmark_heap	All Worlds	Wreckage	heaps		2	2	4						100	38	128		tree1reclamate													1				0		2x2a		smudge01		
