	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Canfly	cruisealt	Scale	BankScale	Builddistance	CanReclamate	EnergyMake	MetalMake	DefaultMissionType	maneuverleashlength	MovementClass	Upright	standingmoveorder	buildangle	canattack	Weapon1	downloadable	wpri_badTargetCategory	BadTargetCategory	digger	DamageModifier	antiweapons	ActivateWhenBuilt	onoffable	RadarDistanceJam	sortbias	IsAirBase	MinWaterDepth	WaterLine	NoShadow	TransMaxUnits	canload	transportsize	transportcapacity	ai_limit	altfromsealevel	NoChaseCategory	Weapon2	wsec_badTargetCategory	Floater	HoverAttack	CloakCost	SonarDistance	Weapon3	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	norestrict	Commander	ShowPlayerName	mincloakdistance	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	maxwaterdepth	ai_weight	noshadow	Waterline	Buildangle	MakesMetal	teleporter	Stealth	Spanishdescription	Italiandescription	ExtractsMetal	attackrunlength	TidalGenerator	kamikaze	kamikazedistance	Downloadable	WindGenerator	MobileStandOrders	weapon1	BuildAngle	OVRadjust	waterline	upright	ovradjust	cantbetransported	transportmaxunits	PitchScale	MoveRate2
ARMAAP.UNITINFO	ARMAAP	1	ARM	ARMAAP	ARM-ACF	Adv. Aircraft Plant	Produces Aircraft	7	6	4521	2210	2100	0	10	0	17376	200	0	1	1	1	0	240	1200	AIRPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL2 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooo ooooooo occccco occccco occccco occccco	armaap_dead	Verb. Flugzeugfabrik	Tech Level 2	1	Usine aéro. évoluée	Niveau Tech 2	1	2	1	1	1	1	1	Planta Av. Constr.Aeronaves	Produce aeronaves	Fabbrica Aerei Spec.	Produce velivoli	1																																																																																														
ARMACA.UNITINFO	ARMACA	1	ARM	ARMACA	ARM-CA1	Adv. Construction Aircraft	Tech Level 2	2	2	12096	220	360	0	10	0.1	24763	100	1	1	1	1	0	295	0	ARM_CVTOL	100	100	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 CONSTR NOWEAPON NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.			Verb. Konstr.-Flugzeug	Tech Level 2	2	Avion de constr. évolué	Niveau Tech 2			1	1	1	1	1	Aeronave Av. Construcción	Nivel Tecn. 2	Aereo Costruttore Spec.	Tecnologia Livello 2	1	1	7.6	1.5	0.06	124	1	1	1	80	0.8	1.5	60	1	24	0.5	VTOL_standby	1280																																																																													
ARMACK.UNITINFO	ARMACK	1	ARM	ARMACK	ARM-ACK1	Adv. Construction Kbot	Tech Level 2	2	2	5784	300	1040	25	20	0.1	13432	160	1	1	1	1	0	249	0	ARM_CKBOT	100	100	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armack_dead	Verb. Konstr.-Kbot	Tech Level 2	3	Kbot de constr. évolué	Niveau Tech 2			1	1	1	1	1	Kbot Av. Construcción	Nivel Tecn. 2	Kbot Costruttore Spec.	Tecnologia Livello 2	1	1	0.6	0.6	0.18	1010	1	1					60	1	17	0.5	Standby	640	TANKSH2	1	1																																																																										
ARMACV.UNITINFO	ARMACV	1	ARM	ARMACV	ARM-CV1	Adv. Construction Vehicle	Tech Level 2	3	3	4263	481	1205	18	16	0.1	10397	200	1	1	1	1	0	223	0	ARM_CVEHICLE	100	100	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armacv_dead	Verb. Konstr.-Fahrzeug	Tech Level 2	4	Véhicule de constr. évolué	Niveau Tech 2			1	1	1	1	1	Vehículo Av. Construcción	Nivel Tecn. 2	Veicolo Costruttore Spec.	Tecnologia Livello 2	1	1	1.6	0.036	0.018	240	1	1					60	1	21	0.5	Standby	640	TANKSH3																																																																												
ARMALAB.UNITINFO	ARMALAB	1	ARM	ARMALAB	ARM-KL2	Adv. Kbot Lab	Produces Kbots	5	6	3277	2007	3005	0	10	0	13520	200	0	1	1	1	0	220	0	KBOTPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL2 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	occco occco occco occco occco occco	armalab_dead	Verb. Kbot-Labor	Tech Level 2	5	Labo de Kbots évolué	Niveau Tech 2	1	2	1	1	1	1	1	Laboratorio Av. Kbot	Produce Kbots	Lab. Kbot Spec.	Produce Kbot	1																					2048																																																																									
ARMAMB.UNITINFO	ARMAMB	1.2	ARM	ARMAMB	ARM-GUARD	Ambusher	Pop-up Heavy Cannon	3	3	16821	2002	1658	0	10	0	20172	0	0	0	1	1	0	360	0	GUARD	0	0	lARGE_BUILDINGEX	LARGE_BUILDING	ARM LEVEL2 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armamb_dead	Ambusher	Schwere Tarn-Kanone	200	Embushor	Canon lourd Pop-up	1	2					1	Ambusher	Cañon de ataque pesado	Ambusher	Cannone pesante a comparsa								1									GUARD_NOMOVE					8192	1	ARMAMB_GUN	1	VTOL	VTOL	1	0.28																																																																		
ARMAMD.UNITINFO	ARMAMD	1	ARM	ARMAMD	ARM-AMD1	Protector	Anti Missile Defense System	4	4	88000	1437	780	0	10	0	95678	0	0	0	1	1	1	155	0	ARM_AMD	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	ARM SPECIAL DEFENSIVE WEAPON LEVEL3 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armamd_dead	Protector	Atomare Raketenabwehr	6	Protector	Missile nucléaire de défense	1	2						Protector	Sistema de Defensa Antimisiles	Protector	Sistema di difesa anti-missili	1							1														4096		AMD_ROCKET		NOTAIR	NOTAIR		0.5	1																																																																	
ARMANNI.UNITINFO	ARMANNI	1	ARM	ARMANNI	ARM-ANN1	Annihilator	Energy weapon	4	4	25025	3985	1410	0	10	0	75071	0	0	0	1	1	1	380	1200	ARM_ANNI	0	0	ATOMIC_BLAST	CRAWL_BLASTSML	ARM SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armanni_dead	Annihilator	Feuert Energiegeschosse	7	Exterminator	Canon à énergie	1	2					1	Aniquilador	Arma de Energía	Annihilator	Arma energetica	1							1									GUARD_NOMOVE					4096	1	ARM_TOTAL_ANNIHILATOR					0.5		0																																																																
ARMAP.UNITINFO	ARMAP	1	ARM	ARMAP	ARM-ACF	Aircraft Plant	Produces Aircraft	7	6	1370	850	1850	0	10	0	7240	100	0	1	1	1	0	225	500	AIRPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL1 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooo ooooooo occccco occccco occccco occccco	armap_dead	Flugzeugfabrik	Tech Level 1	8	Usine aéronautique	Niveau Tech 1	1	2	1	1	1	1	1	Planta Constr. Aeronaves 	Produce aviones	Fabbrica Aerei	Produce velivoli	1																														0																																																																
ARMARAD.UNITINFO	ARMARAD	1	ARM	ARMARAD	AS-EWDL2	Advanced Radar Tower	Long Range Radar Tower	2	2	1830	125	120	0	10	18	4800	0	0	0	1	1	0	350	2880	ARM_ADVRADAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM SPECIAL LEVEL3 NOWEAPON NOTAIR NOTSUB CTRL_R	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo	armarad_dead	Verbesserter Radarturm	Langstrecken-Radarturm	9	Tour radar évoluée	Radar de longue portée								Torra de Radar Avanzada	Torreta de radar de largo alcance	Torre Radar Avanzata	Torre Radar a lungo raggio	1														18							8192									1	1																																																															
